n01440764	tench, Tinca tinca
n02101006	Gordon setter
n02101388	Brittany spaniel
n02101556	clumber, clumber spaniel
n02102040	イングリッシュ・スプリンガー・スパニエル
n02102177	ウェルシュスプリンガースパニエル
n02102318	コッカースパニエル
n02102480	Sussex spaniel
n02102973	Irish water spaniel
n02104029	kuvasz
n02104365	schipperke
n02105056	groenendael
n02105162	malinois
n02105251	briard
n02105412	kelpie
n02105505	komondor
n02105641	ボブテール
n02105855	シェットランド・シープドッグ
n02106030	コリー
n02106166	ボーダー・コリー
n02106382	Bouvier des Flandres, Bouviers des Flandres
n02106550	Rottweiler
n02106662	シェパード
n02107142	Doberman, Doberman pinscher
n02107312	ミニチュア・ピンシャー
n02107574	Greater Swiss Mountain dog
n02107683	バーニーズ・マウンテン・ドッグ
n02107908	Appenzeller
n02108000	EntleBucher
n02108089	ボクサー
n02108422	bull mastiff
n02108551	チベタンマスチフ
n02108915	フレンチ・ブルドッグ
n02109047	グレートデン
n02109525	サンベルナール峠
n02109961	エスキモー犬
n02110063	アラスカン・マラミュート
n02110185	シベリアンハスキー
n02110341	dalmatian, coach dog, carriage dog
n02110627	アーフェンピンシャー
n02110806	basenji
n02110958	パグ
n02111129	Leonberg
n02111277	Newfoundland, Newfoundland dog
n02111500	Great Pyrenees
n02111889	Samoyed, Samoyede
n02112018	スピッツ
n02112137	チャウチャウ
n02112350	keeshond
n02112706	ブラバンソングリフォン
n02113023	ペンブローク
n02113186	カーディガン
n02113624	toy poodle
n02113712	miniature poodle
n02113799	standard poodle
n02113978	Mexican hairless
n02114367	timber wolf, grey wolf, gray wolf, Canis lupus
n02114548	white wolf, Arctic wolf, Canis lupus tundrarum
n02114712	赤狼
n02114855	コヨーテ
n02115641	ディンゴ
n02115913	dhole, Cuon alpinus
n02116738	African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus
n02117135	ハイエナ
n02119022	red fox, Vulpes vulpes
n02119789	kit fox, Vulpes macrotis
n02120079	ホッキョクギツネ
n02120505	grey fox, gray fox, Urocyon cinereoargenteus
n02123045	虎猫
n02123159	虎猫
n02123394	ペルシア猫
n02123597	シャム猫
n02124075	Egyptian cat
n02125311	プーマ
n02127052	山猫
n02128385	ヒョウ
n02128757	ユキヒョウ
n02128925	ジャガー
n02129165	百獣の王
n02129604	虎
n02130308	チータ
n02132136	ヒグマ
n02133161	アメリカ熊
n02134084	ホッキョクグマ
n02134418	sloth bear, Melursus ursinus, Ursus ursinus
n02137549	マングース
n02138441	ミーアキャット
n02165105	tiger beetle
n02165456	瓢虫
n02167151	ground beetle, carabid beetle
n02168699	髪切
n02169497	羽虫
n02172182	糞虫
n02174001	カブトムシ亜科
n02177972	ゾウムシ
n02190166	蝿
n02206856	ハナバチ
n02219486	蟻
n02226429	飛蝗
n02229544	鈴虫
n02231487	walking stick, walkingstick, stick insect
n02233338	油虫
n02236044	mantis, mantid
n02256656	蝉
n02259212	leafhopper
n02264363	lacewing, lacewing fly
n02268443	蜻蛉
n02268853	damselfly
n02276258	admiral
n02277742	ringlet, ringlet butterfly
n02279972	オオカバマダラ
n02280649	紋白蝶
n02281406	sulphur butterfly, sulfur butterfly
n02281787	シジミチョウ
n02317335	ヒトデ
n02319095	雲丹
n02321529	ナマコ
n02325366	wood rabbit, cottontail, cottontail rabbit
n02326432	野兎
n02328150	アンゴラ
n02342885	ハムスター
n02346627	針鼠
n02356798	fox squirrel, eastern fox squirrel, Sciurus niger
n02361337	モルモット
n02363005	ビーバー
n02364673	モルモット
n02389026	sorrel
n02391049	縞馬
n02395406	飼い豚
n02396427	イノシシ
n02397096	イボイノシシ
n02398521	河馬
n02403003	ox
n02408429	水牛
n02410509	バイソン
n02412080	雄羊
n02415577	bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
n02417914	ibex, Capra ibex
n02422106	ハーテビースト
n02422699	インパラ
n02423022	ガゼル
n02437312	単峰駱駝
n02437616	ラマ
n02441942	鼬鼠
n02442845	ミンク
n02443114	polecat, fitch, foulmart, foumart, Mustela putorius
n02443484	black-footed ferret, ferret, Mustela nigripes
n02444819	カワウソ
n02445715	毛長鼬
n02447366	アナグマ
n02454379	鎧鼠
n02457408	three-toed sloth, ai, Bradypus tridactylus
n02480495	猩猩
n02480855	大猩猩
n02481823	黒猩猩
n02483362	テナガザル
n02483708	フクロテナガザル
n02484975	尾長猿
n02486261	patas, hussar monkey, Erythrocebus patas
n02486410	狒狒
n02487347	マカク
n02488291	langur
n02488702	コロブス
n02489166	テングザル
n02490219	マーモセット
n02492035	オマキザル
n02492660	ホエザル
n02493509	ティティ
n02493793	クモザル
n02494079	リスザル
n02497673	Madagascar cat, ring-tailed lemur, Lemur catta
n02500267	インドリ
n02504013	インドゾウ
n02504458	アフリカ象
n02509815	レッサーパンダ
n02510455	パンダ
n02514041	barracouta, snoek
n02526121	鰻
n02536864	coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch
n02606052	rock beauty, Holocanthus tricolor
n02607072	クマノミ
n02640242	チョウザメ
n02641379	gar, garfish, garpike, billfish, Lepisosteus osseus
n02643566	ミノカサゴ
n02655020	puffer, pufferfish, blowfish, globefish
n02666196	算盤
n02667093	アバーヤ
n02669723	法服
n02672831	手風琴
n02676566	アコースティックギター
n02687172	航空母艦
n02690373	airliner
n02692877	飛行船
n02699494	聖餐台
n02701002	救急車
n02704792	水陸両用車
n02708093	アナログクロック
n02727426	養蜂場
n02730930	前掛け
n02747177	芥箱
n02749479	アサルトライフル
n02769748	背嚢
n02776631	ベーカリー
n02777292	平均台
n02782093	風船
n02783161	ballpoint, ballpoint pen, ballpen, Biro
n02786058	絆創膏
n02787622	バンジョー
n02788148	高欄
n02790996	バーベル
n02791124	理髪店のいす
n02791270	理髪店
n02793495	畜舎
n02794156	気圧計
n02795169	薦被り
n02797295	手押し車
n02799071	野球ボール
n02802426	バスケットボール
n02804414	bassinet
n02804610	ファゴット
n02807133	海水帽
n02808304	湯上タオル
n02808440	風呂桶
n02814533	ステーションワゴン
n02814860	燈台
n02815834	ビーカー
n02817516	シャコー帽
n02823428	ビール瓶
n02823750	beer glass
n02825657	bell cote, bell cot
n02834397	bib
n02835271	タンデム自転車
n02837789	ビキニ
n02840245	binder, ring-binder
n02841315	双眼鏡
n02843684	鳥小屋
n02859443	ボートハウス
n02860847	ボブスレー
n02865351	ループタイ
n02869837	ポークボンネット
n02870880	本箱
n02871525	本屋
n02877765	bottlecap
n02879718	洋弓
n02883205	ボータイ
n02892201	霊位
n02892767	ブラジャー
n02894605	防潮堤
n02895154	breastplate, aegis, egis
n02906734	箒
n02909870	麻笥
n02910353	バックル
n02916936	防弾チョッキ
n02917067	新幹線
n02927161	肉屋
n02930766	辻自動車
n02939185	鍋
n02948072	蝋燭
n02950826	cannon
n02951358	カヌー
n02951585	缶切り
n02963159	ジレー
n02965783	car mirror
n02966193	carousel, carrousel, merry-go-round, roundabout, whirligig
n02966687	carpenter's kit, tool kit
n02971356	箱
n02974003	car wheel
n02977058	現金自動支払機
n02978881	テープ
n02979186	cassette player
n02980441	館城
n02981792	catamaran
n02988304	ＣＤプレーヤー
n02992211	チェロ
n02992529	移動電話
n02999410	鎖
n03000134	chainlink fence
n03000247	鎖帷子
n03000684	チェーンソー
n03014705	櫃
n03016953	chiffonier, commode
n03017168	鐘
n03018349	china cabinet, china closet
n03026506	クリスマスストッキング
n03028079	聖堂
n03032252	映画館
n03041632	チョッパー
n03042490	cliff dwelling
n03045698	cloak
n03047690	下駄
n03062245	cocktail shaker
n03063599	コーヒーマグ
n03063689	コーヒーポット
n03065424	捲線
n03075370	組み合わせ錠
n03085013	キーパッド
n03089624	菓子店
n03095699	コンテナ船
n03100240	コンヴァーティブル
n03109150	栓抜き
n03110669	喇叭
n03124043	カウボーイブーツ
n03124170	テンガロンハット
n03125729	揺籃
n03126707	起重機
n03127747	crash helmet
n03127925	梱包用箱
n03131574	ゆりかご
n03133878	Crock Pot
n03134739	croquet ball
n03141823	松葉杖
n03146219	短甲
n03160309	防波堤
n03179701	玉案
n03180011	デスクトップPC
n03187595	dial telephone, dial phone
n03188531	襁褓
n03196217	デジタルクッロック
n03197337	デジタルウオッチ
n03201208	飯台
n03207743	布巾
n03207941	食洗機
n03208938	ディスクブレーキ
n03216828	ドック
n03218198	犬橇
n03220513	穹窿
n03223299	ドアマット
n03240683	drilling platform, offshore rig
n03249569	膜鳴楽器
n03250847	撥
n03255030	唖鈴
n03259280	Dutch oven
n03271574	送風機
n03272010	電気ギター
n03272562	電気機関車
n03290653	entertainment center
n03291819	状袋
n03297495	espresso maker
n03314780	香粉
n03325584	ボア
n03337140	綴じ込み
n03344393	消防艇
n03345487	消防車
n03347037	fire screen, fireguard
n03355925	旗竿
n03372029	フルート
n03376595	畳椅子
n03379051	football helmet
n03384352	フォークリフト
n03388043	噴水
n03388183	万年筆
n03388549	four-poster
n03393912	貨車
n03394916	ホーン
n03400231	フライパン
n03404251	fur coat
n03417042	集塵車
n03424325	ガスマスク
n03425413	gas pump, gasoline pump, petrol pump, island dispenser
n03443371	ゴブレット
n03444034	ゴーカート
n03445777	ゴルフボール
n03445924	ゴルフカート
n03447447	ゴンドラ
n03447721	タムタム
n03450230	ドレス
n03452741	グランドピアノ
n03457902	温室
n03459775	格子
n03461385	食料雑貨店
n03467068	ギロチン
n03476684	hair slide
n03476991	hair spray
n03478589	half track
n03481172	鎚
n03482405	籠
n03483316	ヘアードライヤー
n03485407	ハンドヘルドコンピューター
n03485794	鼻拭き
n03492542	HD
n03494278	ハーモニカ
n03495258	竪琴
n03496892	刈り取り機
n03498962	薪割り
n03527444	ホルスター
n03529860	home theater, home theatre
n03530642	honeycomb
n03532672	鉤
n03534580	クリノリン
n03535780	鉄棒
n03538406	horse cart, horse-cart
n03544143	アワーグラス
n03584254	ｉＰｏｄ
n03584829	鉄
n03590841	jack-o'-lantern
n03594734	デニム
n03594945	ジープ
n03595614	プルオーバー
n03598930	ジグゾーパズル
n03599486	力車
n03602883	ジョイスティック
n03617480	着物
n03623198	knee pad
n03627232	縛目
n03630383	lab coat, laboratory coat
n03633091	杓文字
n03637318	秉燭
n03642806	ラップトップパソコン
n03649909	芝刈り機
n03657121	lens cap, lens cover
n03658185	letter opener, paper knife, paperknife
n03661043	図書館
n03662601	救命ボート
n03666591	電燈
n03670208	リムジーン
n03673027	定期船
n03676483	紅
n03680355	ローファー
n03690938	ローション剤
n03691459	ラウドスピーカーシステム
n03692522	ルーペ
n03697007	製材所
n03706229	磁石盤
n03709823	郵袋
n03710193	郵便箱
n03710637	maillot
n03710721	maillot, tank suit
n03717622	マンホールの蓋
n03720891	maraca
n03721384	木琴
n03724870	面形
n03729826	軸木
n03733131	五月
n03733281	迷路
n03733805	メジャーカップ
n03742115	薬籠
n03743016	巨石
n03759954	マイクロホン
n03761084	電子レンジ
n03763968	military uniform
n03764736	milk can
n03769881	minibus
n03770439	ミニ
n03770679	ワンボックスカー
n03773504	ミサイル
n03775071	ミトン
n03775546	mixing bowl
n03776460	mobile home, manufactured home
n03777568	Model T
n03777754	モデム
n03781244	尼寺
n03782006	モニター
n03785016	モーペッド
n03786901	臼砲
n03787032	角帽
n03788195	回教寺院
n03788365	蚊帳
n03791053	スクーター
n03792782	マウンテンバイク
n03792972	mountain tent
n03793489	マウス
n03794056	鼠捕り
n03796401	moving van
n03803284	muzzle
n03804744	釘
n03814639	neck brace
n03814906	首飾り
n03825788	nipple
n03832673	ノートパソコン
n03837869	方尖柱
n03838899	オーボー
n03840681	オカリナ
n03841143	オドメーター
n03843555	oil filter
n03854065	風琴
n03857828	陰極線オシロスコープ
n03866082	overskirt
n03868242	牛車
n03868863	oxygen mask
n03871628	小荷物
n03873416	櫂
n03874293	外輪
n03874599	錠前
n03876231	絵筆
n03877472	パジャマ
n03877845	館
n03884397	鳴管
n03887697	ペーパータオル
n03888257	落下傘
n03888605	平行棒
n03891251	ろは台
n03891332	パーキングメーター
n03895866	客車
n03899768	中庭
n03902125	pay-phone, pay-station
n03903868	柱礎
n03908618	筆箱
n03908714	鉛筆削り
n03916031	香水
n03920288	ペトリ皿
n03924679	謄写器
n03929660	爪
n03929855	pickelhaube
n03930313	picket fence, paling
n03930630	ピックアップトラック
n03933933	橋脚
n03935335	貯金
n03937543	pill bottle
n03938244	枕
n03942813	ping-pong ball
n03944341	pinwheel
n03947888	海賊船
n03950228	点水
n03954731	plane, carpenter's plane, woodworking plane
n03956157	プラネタリウム
n03958227	ビニール袋
n03961711	plate rack
n03967562	鋤
n03970156	plunger, plumber's helper
n03976467	ポラロイドカメラ
n03976657	竿
n03977966	護送車
n03980874	ポンチョ
n03982430	ビリヤードテーブル
n03983396	pop bottle, soda bottle
n03991062	鉢
n03992509	轆轤
n03995372	ドリル
n03998194	prayer rug, prayer mat
n04004767	プリンター
n04005630	鉄窓
n04008634	飛道具
n04009552	映写機
n04019541	パック
n04023962	パンチボール
n04026417	銭入れ
n04033901	羽
n04033995	quilt, comforter, comfort, puff
n04037443	レーシングカー
n04039381	ラケット
n04040759	radiator
n04041544	無電
n04044716	電波望遠鏡
n04049303	天水桶
n04065272	キャンピングカー
n04067472	糸巻き
n04069434	二眼レフカメラ
n04070727	冷蔵庫
n04074963	遠隔操作
n04081281	飲食店
n04086273	連発銃
n04090263	銃
n04099969	ロッキングチェア
n04111531	rotisserie
n04116512	消ゴム
n04118538	rugby ball
n04118776	規矩
n04120489	running shoe
n04125021	金庫
n04127249	安全ピン
n04131690	塩入れ
n04133789	サンダル
n04136333	サロン
n04141076	サックス
n04141327	鞘
n04141975	計量器
n04146614	スクールバス
n04147183	スクーナー
n04149813	スコアボード
n04152593	ブラウン管
n04153751	螺旋釘
n04154565	螺旋回し
n04162706	シートベルト
n04179913	ミシン
n04192698	盾
n04200800	靴屋
n04201297	障子
n04204238	shopping basket
n04204347	ショッピングカート
n04208210	スコップ
n04209133	shower cap
n04209239	シャワーカーテン
n04228054	スキーの板
n04229816	目出し帽
n04235860	寝袋
n04238763	計算尺
n04239074	引戸
n04243546	スロットマシン
n04251144	シュノーケル
n04252077	スノーモービル
n04252225	除雪車
n04254120	soap dispenser
n04254680	サッカーボール
n04254777	ソックス
n04258138	太陽炉
n04259630	ソンブレロ
n04263257	汁椀
n04264628	スペースバー
n04265275	スペースヒーター
n04266014	space shuttle
n04270147	スパチュラ
n04273569	レース艇
n04275548	網
n04277352	紡錘
n04285008	スポーツカー
n04286575	スポットライト
n04296562	高座
n04310018	蒸気機関車
n04311004	steel arch bridge
n04311174	スティールドラム
n04317175	聴診器
n04325704	袈裟
n04326547	石垣
n04328186	秒時計
n04330267	煖炉
n04332243	瀘過器
n04335435	電車
n04336792	担架
n04344873	デイベッド
n04346328	stupa, tope
n04347754	潜航艇
n04350905	背広
n04355338	晷針
n04355933	sunglass
n04356056	黒眼鏡
n04357314	日焼け止め
n04366367	釣り橋
n04367480	モップ
n04370456	トレーナー
n04371430	海水パンツ
n04371774	鞦韆
n04372370	開閉器
n04376876	注射器
n04380533	table lamp
n04389033	特車
n04392985	テーププレーヤー
n04398044	ティーポット
n04399382	テディーベア
n04404412	テレビシステム
n04409515	テニスボール
n04417672	thatch, thatched roof
n04418357	theater curtain, theatre curtain
n04423845	thimble
n04428191	脱穀機
n04429376	高御座
n04435653	瓦屋根
n04442312	トースター
n04443257	煙草屋
n04447861	便座
n04456115	続松
n04458633	トーテムポール
n04461696	レッカー車
n04462240	玩具屋
n04465501	トラクター
n04467665	リグ
n04476259	盆
n04479046	トレンチコート
n04482393	三輪車
n04483307	トリマラン
n04485082	鉄輪
n04486054	凱旋門
n04487081	トロリーバス
n04487394	トロンボーン
n04493381	甕
n04501370	turnstile
n04505470	typewriter keyboard
n04507155	雨傘
n04509417	一輪車
n04515003	アップライトピアノ
n04517823	電気掃除機
n04522168	華瓶
n04523525	円蓋
n04525038	本天
n04525305	販売機
n04532106	vestment
n04532670	陸橋
n04536866	提琴
n04540053	バレーボール
n04542943	waffle iron
n04548280	柱時計
n04548362	金入れ
n04550184	ワードローブ
n04552348	軍用機
n04553703	洗面器
n04554684	洗濯機
n04557648	水筒
n04560804	水差し
n04562935	給水塔
n04579145	whiskey jug
n04579432	警笛
n04584207	かつら
n04589890	window screen
n04590129	ブラインド
n04591157	ウィンザータイ
n04591713	wine bottle
n04592741	翼
n04596742	中華鍋
n04597913	杓文字
n04599235	羊毛
n04604644	worm fence, snake fence, snake-rail fence, Virginia fence
n04606251	残骸
n04612504	yawl
n04613696	ユルト
n06359193	ホームページ
n06596364	漫画雑誌
n06785654	クロスワードパズル
n06794110	street sign
n06874185	信号
n07248320	表紙カバー
n07565083	menu
n07579787	一皿
n07583066	ワカモレ
n07584110	コンソメ
n07590611	鍋
n07613480	trifle
n07614500	ソフト
n07615774	アイスキャンデー
n07684084	French loaf
n07693725	ベーグル
n07695742	プレッツェル
n07697313	チーズバーガー
n07697537	ホットドッグ
n07711569	マッシュポテト
n07714571	キャベツ
n07714990	ブロッコリー
n07715103	カリフラワー
n07716358	ズッキーニ
n07716906	spaghetti squash
n07717410	acorn squash
n07717556	butternut squash
n07718472	黄瓜
n07718747	アーティチョーク
n07720875	ピーマン
n07730033	cardoon
n07734744	茸
n07742313	Granny Smith
n07745940	莓
n07747607	紅蜜柑
n07749582	檸檬
n07753113	無花果状果
n07753275	パイナップル
n07753592	バナナ
n07754684	波羅蜜
n07760859	ポポー
n07768694	ザクロ
n07802026	馬草
n07831146	カルボナーラ
n07836838	chocolate sauce, chocolate syrup
n07860988	生地
n07871810	ミートローフ
n07873807	ピッツア
n07875152	ポットパイ
n07880968	burrito
n07892512	赤ワイン
n07920052	エスプレッソ
n07930864	カップ
n07932039	エッグノッグ
n09193705	高山
n09229709	泡沫
n09246464	崖
n09256479	珊瑚礁
n09288635	間欠泉
n09332890	湖岸
n09399592	碕
n09421951	sandbar, sand bar
n09428293	湾岸
n09468604	迫
n09472597	火山
n09835506	野球選手
n10148035	花聟
n10565667	scuba diver
n11879895	rapeseed
n11939491	雛菊
n12057211	yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum
n12144580	蜀黍
n12267677	団栗
n12620546	ローズヒップ
n12768682	トチノキ
n12985857	coral fungus
n12998815	agaric
n13037406	gyromitra
n13040303	スッポンタケ
n13044778	ツチグリ
n13052670	マイタケ
n13054560	bolete
n13133613	頭状花序
n15075141	塵紙
